"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"BabR"|"Abbiamo festeggiato qui una cerimonia e nonostante l agriturismo fosse pieno il servizio è stato attento e veloce . Il cibo buonissimo e impiattato con cura .  Ci siamo trovati molto bene ci torneremo e lo consiglieremo sicuramente  Abbiamo notato anche la pulizia della sale ... complimenti!…"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TEST"|"ce"|"ce"
"bottarob"|"Ottimo albergo a ridosso della A14, comodo per chi vuole essere a due passi dal centro di Bologna e comunque poter ripartire velocemente.Camere pulite e ben dotate, ottimo rapporto qualità prezzo. Personale di ricevimento e partenza molto cortese, disponibile e professionale.Mi dispiace tuttavia segnalare non solo una colazione modesta e con poca varietà, ma anche il comportamento (spero occasionale) di alcuni membri dello staff che durante la colazione di Pasqua hanno in modo poco carino e non professionale quasi deriso e sbeffeggiato alcuni componenti di un gruppo di giapponesi che avevano avuto l'unica colpa di chiedere un cappuccino. Da agente di viaggio che gira moltissimi alberghi, lo trovo veramente inqualificabile, soprattutto perchè i malcapitati (tra l'altro molto gentili) non potevano comprendere i commenti indecorosi di questi camerieri."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TEST"|"sp"|"ce"
"Carlo B"|"Ottima colazione e cena con prodotti tipici e naturali. La normativa della Valle d'Aosta prevede minimo 50% di propri prodotti + 30% della Regione. Complimenti a questo agriturismo. Spaccio dei formaggi di loro produzione (prezzi un pò elevati)"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TEST"|"sp"|"sp"
"Carmine D"|"Il campeggio si trova in una posizione strategica per scoprire la Sardegna siamo stati in un bungalow confortevole pulito vicino al corpo centrale ,l'animazione piacevole e divertente un saluto particolare a Marcello e Marta ....ma anche a tutti gli altri .il personale molto disponibile ....sicuramente ci torneremo"|"Camping Village Capo d'Orso"|"05/07/2019"|"TEST"|"so"|"ce"
"Claudio C"|"Abbiamo soggiornato con degli amici in questo hotel alle porte di Lecce. Struttura curatissima e pulita. Dotata di tutti i servizi, ristorante, ampio parcheggio, camere touch screen con personale gentile e cordiale. Si può raggiungere il centro sia in auto, oppure in 15 minuti a piedi. La colazione è ricca e varia."|"8piuhotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"Danielecorn"|"Ho soggiornato con la mia ragazza in questa struttura, usufruendo del pacchetto suite + spa, e l'ho trovata semplicemente fantastica. Personale giovane e competente.  La suite del fuoco si presenta calorosa in tutti i suoi aspetti. La spa privata ha tutto il necessario per far passare 1 ora di completo relax.  Colazione in camera abbondante e di qualità. Cena in camera soddisfacente. Sicuramente tornerò a provare le spa suite.…"|"Halanus Hotel & Resort"|"05/07/2019"|"TEST"|"lx"|"lx"
"Danjela V"|"Sono anni che prenoto qui e mai una delusione...magari leggermente fuori centro ma la fermata della metro é a due passi quindi nessun problema per muoversi. Buona la colazione è la pulizia,stanze spaziose"|"Starhotels Business Palace"|"05/07/2019"|"TEST"|"ce"|"ce"
"danymr"|"Ci siamo stati per il nostro anniversario di matrimonio! La suite con vasca idromassaggio in camera e vista sul mare è stupenda! Molto romantica!Ci hanno accolti con un tortino al cioccolato offerto, anche senza glutine per mio marito, servito nella sala colazione con vista diretta sul mare! Uno spettacolo! Niente lasciato al caso! Bello! Nuovo! Pulito! Non vediamo l'ora di ritornarci per passare un pò di tempo in assoluto relax!!!!Grazie! ??"|"You & Me Beach Hotel"|"05/07/2019"|"TEST"|"lx"|"ce"
"daveferrux85"|"Ho soggiornato nella dimora rossetti, la suite in foto era meravigliosa e dal vivo lo è stata ancor di più,al nostro arrivo ci hanno fatto trovare luce soffusa, candele accese e della frutta su un tavolino che affaccia direttamente sulla piazza principale della città, la vasca idromassaggio è ovviamente un plus indiscutibile. Posizione centrale a pochi metri da uno degli scorci più belli della loggia Amblingh. Struttura ben tenuta e silenziosa. Tornerò per provare la suite D'Annunzio."|"Corte Rossetti Le Dimore B&B"|"05/07/2019"|"TEST"|"lx"|"lx"
"delfo78"|"Buona soluzione come punto di partenza per visitare Firenze, ideale per tutti coloro che prediligono la libertà dei campeggi rimanendo comunque vicino ai punti di maggior interesse. Il camping offre tutto l'occorrente per trascorrere delle piacevoli ferie come, ristorante, bar, piscina, market, lavanderia, parco giochi e servizio navetta.  Consigliato soprattutto alle famiglie con bambini."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"ce"|"so"
"DoctorPav"|"Ci ho messo un po' a capire dove si trovava l'hotel in quanto all'interno di un palazzo e senza nessuna indicazione ma posso assicurare che dopo c'è....Sono arrivato di sera e come da accordi con il proprietario (molto gentile) mi ha aperto il portiere della palazzina.Sono entrato e l'impressione avuta è stata quella di un appartamento adibito a b&b e non mi sbagliavo...così era.La zona colazione un po' confusionaria e poco ricca.Aperta la stanza: camera accogliente con armadio spazioso a specchio, bagno con doccia...tutto molto pulito.Alla fine dato il prezzo non ci si può lamentare anzi...Se dovesse servirmi tornare in zona molto probabilmente tornerò qui."|"Parioli Bed & Business"|"05/07/2019"|"TEST"|"sp"|"sp"
"Elyl"|"Situato in ottima posizione per un viaggio di lavoro, spazioso parcheggio gratuito all'esterno.Camere ampie, letto grande, oltre ogni aspettativa, comodo, materasso e cuscini perfetti. Pulizia ottima, tranquillità. Colazione con ampia varietà di dolci, con scelta di salato, frutta fresca. Personale cordiale, professionale.Ottimo rapporto qualità prezzo.Un po' lontano dal mare."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"sp"|"ce"
"EmilianoRusso"|"Questo Hotel non si può descrivere con una recensione standard che descrive minuziosamente tutti gli elementi positivi della struttura, sarebbe impossibile perché bisognerebbe scrivere un vero e proprio trattato di bellezza su ogni singolo elemento: dalle suite alla hall a finire all'area pool. Tutto fantastico, tutto eccezionale. Ciò che colpisce maggiormente è la cortesia del personale. Raramente si trova in un luxury Hotel un personale così accogliente. Mi chiedo se esistono parole per descrivere l'emozione che ho provato scattando delle foto all'alba dal terrazzo. Non ho il coraggio di descrivere null'altro per non sminuire quello che ho provato.Non cambiate mai, continuate sempre così, ad esprimere l'eccellenza nell'accoglienza tipicamente amalfitana."|"Santa Caterina Hotel"|"05/07/2019"|"TEST"|"lx"|"ce"
"Enrico M"|"Ne ho provati tanti ma questo è sicuramente uno dei migliori campeggi della zona di Jesolo. Dimensioni ideali per famiglia, bagni molto puliti, piscina funzionale sia per i bambini che per nuotare, palestra con tutto quello che serve e sempre molto pulita. Buon ristorante e cordialità diffusa....."|"Europa Camping Village"|"05/07/2019"|"TEST"|"so"|"ce"
"Enrico_LXXXIII"|"Bel campeggio con piazzole ampie e confortevoli. Servizi curati puliti.Market ben fornito, personale cortese. Una delle due spiagge è molto bella con anche la possibilità di vedere diversi pesci. L'altra è un po'più anonima. Piccola pecca manca un area barbecue comune per chi non ha la possibilità di portarsi tutto l'occorrente. Animazione divertente e coinvolgente.Grazie della bella vacanza!"|"Camping Village Capo d'Orso"|"05/07/2019"|"TEST"|"so"|"so"
"Er tortellino"|"L albergo è bellissimo e molto professionale. Il ristorante altrettanto...si mangia bene e tipicamente la cucina marchigiana che è ottima...personale educato e disponibile.tavole apparecchiate bene ed eleganza nella struttura."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"ce"|"so"
"Erica C"|"Premesso che il mio compagno è venuto in questa struttura da parecchi anni e che due anni fa abbiamo soggiornato piacevolmente in una casa mobile non possiamo dire lo stesso per quest'anno !La piazzola del camper (con molta pendenza) era sporca, non curata come tutte le altre nella nostra stradina, la più lontana verso la strada. La strada stessa aveva delle buche molto fonde e pericolose alla sera a differenza delle altre vie tutte sistemate con mattonelle.La cosa più spiacevole è stata il fortissimo Odore Di FOGNATURA che arrivava dalla vasca presente nella nostra piazzola ( preciso che avevo chiesto al momento della scelta della piazzola cosa fosse e mi era stato detto non è niente...) iniziato soprattutto dopo un paio di giorni di soggiorno quando gli addetti del campeggio avevano aperto il sigillo della vasca.Pulizia servizi peggiorata molto negli anni."|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"ce"|"ce"
"faggi72"|"Posto bello anche se molto lontano da qualsiasi centro abitato.1-wifi a pagamento. Doccia a pagamento. Giochi a pagamento. Azz: che senso ha avere un campetto da calcio e uno da minigolf se nessuno li usa? 2-appena arrivi ti tolgono 100 euro in contanti x cauzione. Ma resto senza.. Bancomat a 15km. Così come mandare un genitore (per fortuna non io) a piedi a Porto Cesareo per prendere una medicina alla figlia. Dai, questa è umanità.3-non prendono assegni per pagare dato che non ci va di andare fino a Lecce per incassarlo. E devo andarci io?4-personale poco garbato che a qualsiasi domanda rimandano ad un fantomatico responsabile che va cercato dalle 17 alle 17.10. Non abbiamo tempo per cose poco serie per gonfiare un materassino.5-pulizie fatte spentolando e urlando alle 7 di mattina (!)6-il matrimoniale è a una piazza e mezzo. Il singolo è un divanetto di 150x80cm. Se non siete pigmei è un problema.7-Mangiato una pizza all'arrivo, la peggiore mai presa in 47 anni di vita. Mangiata di nuovo all'ultima sera, ancora peggio. Allora non era un caso.Bella la vicinanza alla spiaggia, ma per il resto ci sono almeno due stelle di troppo."|"Camping Torre Castiglione"|"05/07/2019"|"TEST"|"sp"|"sp"
"famigliabarese"|"Bell'albergo moderno,  in zona periferica, ma con un taxi e 12 euro in pochi minuti si e' in centro. Stanze silenziose e ben pulite. Personale alla reception molto disponibile.  Il parcheggio esterno gratuito e' davvero minimo, anche se si puo' parcheggiare in strada a pagamento o nel parcheggio sotterraneo dell'albergo. La stanza era molto molto calda, abbiamo dovuto tenere la finestra aperta nonostante avessimo spento il riscaldamento. La struttura e' moderna e gradevole. Ci siamo trovati bene. Per chi viaggia con un cagnolino, non puo' essere lasciato solo nella stanza.  …"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TEST"|"ce"|"ce"
"Fanfulla95"|"Abbiamo soggiornato qui per una sola notte e ne é valsa la pena!! Ambiente veramente carino,ben arredato, personale estremamente cortese, solare e disponibile.La pulizia della stanza era molto buona. Da tornare! lo consigliamo vivamente a chi ama l'eleganza nella sua semplicità!"|"Hotel Filù"|"05/07/2019"|"TEST"|"lx"|"ce"
"Fanky76"|"Unico lato positivo la pulizia dei bagni e la vicinanza alla spiaggia. Per la prima volta abbiamo deciso di prenotare un caravan (dopo anni passati in tenda) ma la delusione è stata grande: Caravan sporco e parti rotte e mal conservate, veranda esterna con cerniere rotte, zona cucina coperta ma con fornelli arrugginiti e sporchi, pentole inutilizzabili. Prezzo troppo alto per la scarsa qualità! Rispetto ad altri camping a 4 stelle i bagni sono puliti ma sprovvisti di ciambelle e senza carta igienicale docce con acqua calda sono a pagamento con gettoni al costo di 50 cent. e con un solo gettone non riesci nemmeno a toglierti il sale dai capelli!Il bar ha prezzi un po' alti se si considera che per due cappuccini più due brioches si spende 6,00 €.Al ristorante abbiamo cenato due sere con scarsi risultati: la prima volta abbiamo preso una pessima tagliata (rimasta nel piatto) e un guazzetto di pesce poco saporito la volta successiva abbiamo ordinato due pizze (gamberetti, prosciutto e funghi) un pochino bruciate e di scarsa qualità, con un'attesa di più di un'ora.La spiaggia è piccola ma con un bel mare, purtroppo sprovvista di servizi igienici e bar. Non credo che ci torneremo."|"Camping Torre Castiglione"|"05/07/2019"|"TEST"|"sp"|"sp"
"Fausto A"|"Siamo ancora ospiti della struttura ma non è prematuro premiare il lavoro di uno staff ben organizzato e gestito. La colazione è ottima, la pulizia idem e gli spazi sono ampi e luminosi. Come quasi mai accade, in questo Hotel è possibile usufruire del servizio di ristorazione di gran qualità a prezzi non usuali per gli alberghi. Il personale, inoltre, si è sempre dimostrato, tranne in un isolato caso, ben disposto a soddisfare ogni minima richiesta da parte nostra. Anche questa volta, dobbiamo ringraziare La nostra fidata Agente Barbara, che ha scovato una bellissima struttura ricettiva. Nondimeno, anche in considerazione della presenza di mia figlia di otto anni, non hanno esitato accordarci qualche ora in più per meglio consentire il check out. Grazie. Stanza 223"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TEST"|"sp"|"ce"
"federicad27"|"Un rifugio spettacolare, a 2800 metri con sauna esterna con vista panoramica. Si mangia molto bene e si può anche pernottare. Consigliatissimo per sciatori ma anche per chi vuol rilassarsi all’aria aperta."|"Rifugio Lagazuoi"|"05/07/2019"|"TEST"|"ce"|"sp"
"Federico I"|"Il posto è veramente incantevole, ben curato, personale giovane, gentile e disponibile. La suite terra, con idromassaggio e sauna in camera, è stata un autentico tocca sana, visto anche l'accesso diretto alla piscina. Due giorni di assoluto relax, magari con la sola pecca della piscina sovraffollata la domenica che perde decisamente la sua magia. Da tornarci presto.…"|"Halanus Hotel & Resort"|"05/07/2019"|"TEST"|"lx"|"lx"
"federico19"|"Le suite valorizzano al massimo la veduta di piazza Navona una delle più belle del mondo. In particolare la suite dove ho soggiornato era prospiciente sulla fontana dei quattro fiumi e sulla basilica di Santa Agnese. Uno spettacolo unico. Le suite sono luminose e ben arredate in stile moderno e dotate dei più moderni conforts. La prima colazione offre prodotti di prima qualità e piatti espressi molto gustosi."|"Lifestyle Suites Rome"|"05/07/2019"|"TEST"|"lx"|"ce"
"FM62"|"Hotel un po' decentrato ma a 200 MT dalla fiera. Col 28 in 15' si arriva in centro. Hotel recente, stanze sufficientemente ampie, bagno ben attrezzato. Buon WiFi , TV senza Sky. Colazione non proprio da 4*. Personale cordiale."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TEST"|"ce"|"ce"
"Francesca G"|"Ho soggiornato con la mia famiglia al Camping in Town per 3 giorni. Sono stata incuriosita da quel ragazzo con il cappello autista del calessino. Ci ha spiegato tutte le tipologie di itinerari che era possibile fare e abbiamo scelto il giro in città e campagna. Esperienza da non perdere!! Cultura e divertimento insieme.... Grazie davvero Sauro e tutto lo staff del campeggio."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"so"|"so"
"Gessica"|"Uno dei migliori hotel della provincia.attenti a tutto anche ai particolari.pulizia maniacale ovunque.spesso pernottiamo qui cenando al ristorante dove qualità e cortesia regnano.gentilissimi ed educati.bravi"|"8piuhotel"|"05/07/2019"|"TEST"|"ce"|"lx"
"Gianlucapreco"|"5° anno presso questa struttura. Ma questa volta non posso mettere 5 stelle per due motivi. Il primo: ANIMAZIONE PATETICA , quest'anno veramente pessima, organizzati male e soprattutto con musi lunghi  quasi scocciati. Non educatissimi e soprattutto mai sorridenti o poco . Qualcuno ha scritto non invadenti... e grazie non si vedono mai. In spiaggia non si capisce mai quando iniziavano, con una piccola cassa da cui usciva della musica. Insomma una tristezza unica. Secondo aspetto negativo , nonostante la gentilezza del beach service la spiaggia non spiccava per pulizia . In 15 gg  penso di avere visto la buca vicino al mio ombrellone mai coperta, la sabbia non viene mai tirata e pulita veramente poco, il posacenere passavano anche 2/3 gg prima di essere svuotato.  Lodi invece allo staff delle pulizie, le casette erano igienizzate, pulite e profumate.. ma questa è ed  è sempre stato un punto forza dell'europa. Il solito Chirstian , colonna portante del villaggio , gentile e disponibile.  Ma tutto lo staff in generale è molto cortese. Ritornerò??? Certo che ritornerò sperando che il prossimo anno ci sia una scelta migliore per il gruppo di animazione"|"Europa Camping Village"|"05/07/2019"|"TEST"|"so"|"so"
"giaser"|"Sempre un ottimo hotel per alloggiare  ma alcuni dettagli in camera andrebbero migliorati.I servizi igienici come il bidet sono troppo piccoli e troppo vicino alla parete.il tappo del lavabo ed il soffione della doccia andrebbero manutenuti un po meglio. La colazione buona e varia.…"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TEST"|"ce"|"sp"
"giorgio888"|"Prima volta in questo splendido Hotel, impeccabile in tutto! Pulizia, rispetto, silenzio, cortesia e disponibilità sono i principali fattori di una vacanza. Sicuramente sarà un mio punto di riferimento qualora dovessi tornare a Milano."|"Starhotels Business Palace"|"05/07/2019"|"TEST"|"ce"|"ce"
"Heidi K"|"Brunch della domenica in questo grande e moderno hotel in zona linate. Sala grande, con tanti tavoli ma buona acustica, c'è anche una zona un po' appartata per far giocare i bambini con l'assistenza di una ragazza del personale. Tante portate, molti antipasti, e ampia scelta tra primi e secondi caldi.  Per il dolce è possibile farsi fare una crepe al momento, altrimenti c'è un banco con vari tipi di torte e dessert.…"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"ce"|"ce"
"iAmo_Blog"|"Quando si sceglie AC Marriott non si sbaglia e difatti anche l'hotel di Bologna offre ottimo confort e un tocco di classe. Partiamo subito dall'unico difetto dell'hotel ossia il parcheggio esterno molto limitato che obbliga a parcheggiare nell'interrato a pagamento (15euro a notte). L'hotel è in zona fiera, prossimo comunque al centro città nei paraggi inoltre si possono trovare anche alcuni ristorantini. La camera è pulita con un bagno moderno ma con la vasca e non con la doccia. Il letto è molto ampio e comodo, con una tv degna di questo nome. Non abbiamo provato il ristorante, ma la colazione ha un'offerta ampia e di qualità. C'è anche una palestra nell'hotel con attrezzi Technogym.Hotel visita da iAmo_Blog"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TEST"|"ce"|"ce"
"Irene M"|"Ho soggiornato nella bellissima suites Cappuccino. Da non perdere la vista dalla fantastica terrazza.La  stanza affaccia su una delle più belle e famose piazze di Roma.Per colazione ho scelto l’omelette ed era deliziosa. Non ho resistito e ho scattato alcune foto che allego di seguito."|"Lifestyle Suites Rome"|"05/07/2019"|"TEST"|"lx"|"ce"
"italiantourer"|"Abbiamo utilizzato una suite su due livelli. L’idea sicuramente ottima ma i dettagli proprio no. TV scadenti scarsa illuminazione arredamento cheap. L’arredamento anche dell’hotel molto da rivedere: forse meglio una poltrona o un divano in meno ma di pelle vera e non ecopelle. La colazione da migliorare con più prodotti di stagione (una spremuta di arancia invece del succo industriale?!?!?) e senza yogurt del Lidl.... abbiamo poi assistito ad una discussione piuttosto lunga tra il personale e forse la proprietà alla reception il tutto ad altissima voce. Le potenzialità ci sono ma bisogna lavorarci molto!! Peccato perché la struttura è un bel palazzo l’affaccio non è dei migliori ma si trova in una posizione centrale dalla quale si raggiunge più o meno tutto a piedi"|"Palazzo Brunaccini"|"05/07/2019"|"TEST"|"lx"|"sp"
"Iuliana O"|"Molto accogliente, personale molto cordiale e professionale. Stanze grandi, eleganti e pulite. Molto attenti alle esigenze del cliente.Bellissimo posto, perfettamente collegato con il centro di Milano."|"Starhotels Business Palace"|"05/07/2019"|"TEST"|"ce"|"ce"
"Jet01316768061"|"Un rifugio in senso letterale: notte e ristorante gradevoli. Vino della casa ottimo. Pasta fresca e funghi ma anche stinco di maiale. Il prezzo è adeguato e personale ben educato. Lo consiglio a coppie in cerca di angolini rimantici e a famiglie con bambini"|"Rifugio Sapienza"|"05/07/2019"|"TEST"|"sp"|"ce"
"kami"|"Buon rifugio  in quota ben organizzato con ristorante.  buona soluzione per partire presro il giorno seguente in escursione ai crateri sommitali. Forse un po troppo riscaldato di notte e ventola del bagno senza finestra molto rumorosa .Colazione ricca e personale gentile ."|"Rifugio Sapienza"|"05/07/2019"|"TEST"|"ce"|"ce"
"Laphonso80"|"Ho trascorso una notte in questo hotel per lavoro. Il personale è ottimo e cortese, le camere veramente confortevoli e la colazione abbondante e molto variegata. Consigliatissimo per chi passa da lì per affari."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"Lucia"|"Struttura curata nei minimi dettagli, pulita, organizzata, personale cordiale, animazione divertente ma mai invadente, ottimi i servizi (il market è fornitissimo, ottimo il ristorante, anche con possibilità di gastronomia e pizzeria da asporto). Il Camping è un'oasi di pace e tranquillità, ideale per una vacanza in famiglia, in cui i bambini possono girare autonomamente in piena sicurezza e libertà. Si può scegliere tra la spiaggia e un meraviglioso parco acquatico. Ottimo rapporto qualità-prezzo degli alloggi, quasi tutti nuovi e rinnovati di anno in anno.…"|"Europa Camping Village"|"05/07/2019"|"TEST"|"sp"|"so"
"luciovizioli"|"Buona l’ubicazione,ma purtroppo il proprietario ( forse gestore) è una persona sgarbata La professionalità e la serietà sono evidentemente un optional in questa struttura nel cuore dei Parioli.Peccato!!!"|"Parioli Bed & Business"|"05/07/2019"|"TEST"|"so"|"so"
"luplay"|"a due passi dal termine della superstrada (Foligno - Civitanova) ed a pochi minuti dal casello dell'autostrada. Posizione quindi ideale con ampio parcheggio.Hotel moderno ed accogliente con una nota di merito per la cucina.ideale per chi si trova in zona."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"Marco C"|"Posto bello sul mare, ma ad agosto non c'è posto nella piccola spiaggia. Market e ristorante carissimi perché a meno di 2km non c'è altro. La cosa peggiore è il caos che regna tra roulotte e tende, nessuno fa rispetta re gli orari di silenzio anche di notte. Bravi i ragazzi dell'animazione che hanno regalato un po' di spensieratezza e aggregazione"|"Camping Torre Castiglione"|"05/07/2019"|"TEST"|"sp"|"sp"
"Marco T"|"Camping centrale e vicino al mare (non direttamente sulla spiaggia ma a 5 minuti a piedi tramite un comodo e ampio marciapiede).Ottima la copertura data dai numerosi alberi, sia in zona bungalow che anche in zona tende.Buoni servizi e buona la pulizia del bungalow.Pentole e accessori per cucina presenti, vani della soluzione 2+2 abbastanza spaziosi (ma noi siamo in 2 adulti e un bambino di 4 anni).Ombrellone e lettini inclusi nel prezzo del bungalow non sono attaccati alla zona mini club. Animazione discreta ma direi amatoriale."|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"sp"|"sp"
"Marianna D"|"Ho soggiornato nella stanza eleganza una vera suite in grotta.. posto rilassante completo di tutti i comfort.. proprietari gentilissimi e disponibili.. si trova a due passi dal centro.. colazione inclusa abbondante sia dolce che salata.. le. foto non rendono per quanto sia bellissima e suggestiva.. come non rende la vasca in foto per quanto sia enorme. Da ritornarci sicuramente"|"B&B Al Convento"|"05/07/2019"|"TEST"|"lx"|"ce"
"MarianoCavuoto"|"abbiamo sostato in questo camping iniziando la nostra vita da camperisti e onestamente come prima esperienza non mi poteva capitare camping migliore, cordialità e ottima organizzazione gia dall'arrivo, siamo stati accompagnati alla nostra piazzola e ci hanno lasciato sceglierre la soluzione migliore per noi, ottimi tutti i servizi e facile gli spostamenti per bagni e mare. animazione non male,  minimarket un po caro ma ben fornito. consiglio una visita nel camping torre castiglione"|"Camping Torre Castiglione"|"05/07/2019"|"TEST"|"so"|"so"
"Mario Iodice"|"Sono stato questo weekend presso questo villaggio camping con alcuni amici ognuno sistemato in un bungalow. Buona e bellaLa struttura così come le casette, molto accoglienti e pulite. Non condivido l’assenza della pulizia giornaliera, con sostituzione scegli asciugamani. DaMigliorare gli orari del bar ( alle ore 7 del mattino ancora chiuso ) ed il servizio piscina."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"ce"|"ce"
